mode,t,f,best_f,x_norm
quadratic_benchmark,1,-24.32000000000001,-24.32000000000001,1.6000000000000005
quadratic_benchmark,2,-44.019200000000026,-44.019200000000026,3.0400000000000005
quadratic_benchmark,3,-59.975552,-59.975552,4.336
quadratic_benchmark,4,-72.90019711999996,-72.90019711999996,5.5024
quadratic_benchmark,5,-83.3691596672001,-83.3691596672001,6.55216
quadratic_benchmark,6,-91.84901933043207,-91.84901933043207,7.496944000000004
quadratic_benchmark,1,3.0,1,2,2334.8435275643533,0.0,7.640436267511733,2364.2378242464288,29.394296682075293,6.900620835437523
quadratic_benchmark,2,5.0,2,3,191459.97763722183,0.0,61.12135952889967,191489.3719339039,29.394296682075293,61.88746093513661
quadratic_benchmark,3,7.0,3,4,15510600.616855372,0.0,557.7313673985673,15510630.011152053,29.394296682075293,556.9675208026104
quadratic_benchmark,4,9.0,4,5,1256360993.0643973,0.0,5011.941887881238,1256361022.458694,29.394296682075293,5012.705918619865
quadratic_benchmark,5,11.0,5,6,101765242794.28381,0.0,45115.11712786793,101765242823.67812,29.394296682075293,45114.35311092522
quadratic_benchmark,6,13.0,6,7,8242984668440.695,0.0,406028.4139602245,8242984668470.09,29.394296682075293,406029.17797803425
quadratic_benchmark,7,15.0,7,8,667681758143187.5,0.0,3654263.365810984,667681758143216.9,29.394296682075293,3654262.6017932035
quadratic_benchmark,8,17.0,8,9,5.4082222409518536e+16,0.0,32888362.652096003,5.408222240951857e+16,29.394296682075293,32888363.416113783
quadratic_benchmark,9,19.0,9,10,4.3806600151719424e+18,0.0,295995271.5090735,4.3806600151719424e+18,29.394296682075293,295995270.74505574
quadratic_benchmark,10,21.0,10,11,3.548334612289112e+20,0.0,2663957435.9414234,3.548334612289112e+20,29.394296682075293,2663957436.705441
quadratic_benchmark,11,23.0,11,12,2.8741510359541822e+22,0.0,23975616931.11299,2.8741510359541822e+22,29.394296682075293,23975616930.348976
quadratic_benchmark,12,25.0,12,13,2.3280623391228874e+24,0.0,215780552372.37677,2.3280623391228874e+24,29.394296682075293,215780552373.14078
quadratic_benchmark,1,3.0,1,2,2334.851315599765,0.0,7.64044736678142,2364.2456122818403,29.394296682075293,6.900633966747315
quadratic_benchmark,2,5.0,2,3,191460.14737590382,0.0,61.121386947959635,191489.54167258588,29.394296682075293,61.887488499079055
quadratic_benchmark,3,7.0,3,4,15510602.356099706,0.0,557.7313986008605,15510631.750396388,29.394296682075293,556.9675520304907
quadratic_benchmark,4,9.0,4,5,1256361097.7596767,0.0,5011.942096765827,1256361127.1539733,29.394296682075293,5012.706127479237
quadratic_benchmark,5,11.0,5,6,101765252051.48666,0.0,45115.11917978514,101765252080.88097,29.394296682075293,45114.35516286707
quadratic_benchmark,6,13.0,6,7,8242985413487.423,0.0,406028.43230983446,8242985413516.817,29.394296682075293,406029.19632761966
quadratic_benchmark,7,15.0,7,8,667681818497627.6,0.0,3654263.5309727034,667681818497657.0,29.394296682075293,3654262.766954948
quadratic_benchmark,8,17.0,8,9,5.408222729852803e+16,0.0,32888364.138642903,5.408222729852806e+16,29.394296682075293,32888364.902660657
quadratic_benchmark,9,19.0,9,10,4.3806604111820805e+18,0.0,295995284.8880079,4.3806604111820805e+18,29.394296682075293,295995284.12399006
quadratic_benchmark,10,21.0,10,11,3.548334933056397e+20,0.0,2663957556.351485,3.548334933056397e+20,29.394296682075293,2663957557.115502
quadratic_benchmark,11,23.0,11,12,2.874151295775599e+22,0.0,23975618014.80319,2.874151295775599e+22,29.394296682075293,23975618014.039173
quadratic_benchmark,12,25.0,12,13,2.3280625495782383e+24,0.0,215780562125.5887,2.3280625495782383e+24,29.394296682075293,215780562126.35275
quadratic_benchmark,1,3.0,1,2,2334.847878019917,0.0,7.640441790612075,2364.2421747019926,29.394296682075293,6.90062923392699
quadratic_benchmark,2,5.0,2,3,191458.11274058258,0.0,61.12105859045439,191487.50703726464,29.394296682075293,61.88716088117914
quadratic_benchmark,3,7.0,3,4,15510442.11247307,0.0,557.7285208187036,15510471.506769752,29.394296682075293,556.964675010766
quadratic_benchmark,4,9.0,4,5,1256348402.1506963,0.0,5011.916770521869,1256348431.544993,29.394296682075293,5012.6808005671755
quadratic_benchmark,5,11.0,5,6,101764224287.0563,0.0,45114.89136535727,101764224316.4506,29.394296682075293,45114.12734912218
quadratic_benchmark,6,13.0,6,7,8242902160148.89,0.0,406026.3818779479,8242902160178.284,29.394296682075293,406027.1458950524
quadratic_benchmark,7,15.0,7,8,667675075112680.9,0.0,3654245.0774496477,667675075112710.2,29.394296682075293,3654244.313432573
